Season,Set,Difficulty,Head Editor,Literature,History,Science,Arts,Beliefs,Thought,Other
2021-22,<a href = '/sets/21-22-arcadia'>ARCADIA</a>,<div class = 'diffdots medium-diff'>&#x25CF;&#x25CF;</div>,<a href = '../players/ryan-rosenberg'>Ryan Rosenberg</a>,"<a href = '../players/henry-goff'>Henry Goff</a> <i style = 'font-size:80%'>World, British</i><br><a href = '../players/payton-schubel'>Payton Schubel</a> <i style = 'font-size:80%'>American, European</i>","<a href = '../players/grant-peet'>Grant Peet</a> <i style = 'font-size:80%'>European, World, Other</i><br><a href = '../players/kevin-thomas'>Kevin Thomas</a> <i style = 'font-size:80%'>Ancient</i><br><a href = '../players/ryan-rosenberg'>Ryan Rosenberg</a> <i style = 'font-size:80%'>American</i>","<a href = '../players/hasna-karim'>Hasna Karim</a> <i style = 'font-size:80%'>Biology</i><br><a href = '../players/ryan-rosenberg'>Ryan Rosenberg</a> <i style = 'font-size:80%'>Other</i><br><a href = '../players/vincent-du'>Vincent Du</a> <i style = 'font-size:80%'>Chemistry, Physics, Other</i>","<a href = '../players/annabelle-yang'>Annabelle Yang</a> <i style = 'font-size:80%'>Visual, Other</i><br><a href = '../players/jacob-egol'>Jacob Egol</a> <i style = 'font-size:80%'>Auditory, Other</i>","<a href = '../players/annabelle-yang'>Annabelle Yang</a> <i style = 'font-size:80%'>Religion, Mythology</i><br><a href = '../players/hasna-karim'>Hasna Karim</a> <i style = 'font-size:80%'>Religion</i><br><a href = '../players/kevin-thomas'>Kevin Thomas</a> <i style = 'font-size:80%'>Religion</i>",<a href = '../players/ryan-rosenberg'>Ryan Rosenberg</a> <i style = 'font-size:80%'>Social Science</i><br><a href = '../players/vincent-du'>Vincent Du</a> <i style = 'font-size:80%'>Philosophy</i>,<a href = '../players/grant-peet'>Grant Peet</a> <i style = 'font-size:80%'>Other</i>
2021-22,<a href = '/sets/21-22-ccct'>CCCT</a>,<div class = 'diffdots medium-diff'>&#x25CF;&#x25CF;</div>,NAQT,,,,,,,
2021-22,<a href = '/sets/21-22-hari'>HARI</a>,<div class = 'diffdots medium-diff'>&#x25CF;&#x25CF;</div>,<a href = '../players/natan-holtzman'>Natan Holtzman</a>,<a href = '../players/anson-berns'>Anson Berns</a> <i style = 'font-size:80%'>Literature</i>,<a href = '../players/hari-parameswaran'>Hari Parameswaran</a> <i style = 'font-size:80%'>History</i>,"<a href = '../players/chris-tong'>Chris Tong</a> <i style = 'font-size:80%'>Chemistry</i><br><a href = '../players/geoffrey-chen'>Geoffrey Chen</a> <i style = 'font-size:80%'>Biology, Physics, Other</i><br><a href = '../players/walter-zhang'>Walter Zhang</a> <i style = 'font-size:80%'>Other</i>","<a href = '../players/ethan-strombeck'>Ethan Strombeck</a> <i style = 'font-size:80%'>Visual, Other</i><br><a href = '../players/michael-li'>Michael Li</a> <i style = 'font-size:80%'>Auditory, Other</i>","<a href = '../players/william-groger'>William Groger</a> <i style = 'font-size:80%'>Religion, Mythology</i>","<a href = '../players/geoffrey-chen'>Geoffrey Chen</a> <i style = 'font-size:80%'>Philosophy, Social Science</i>",<a href = '../players/walter-zhang'>Walter Zhang</a> <i style = 'font-size:80%'>Other</i>
2021-22,<a href = '/sets/21-22-mrna-vaccine'>MRNA VACCINE</a>,<div class = 'diffdots medium-diff'>&#x25CF;&#x25CF;</div>,<a href = '../players/eric-mukherjee'>Eric Mukherjee</a>,"<a href = '../players/chandler-west'>Chandler West</a> <i style = 'font-size:80%'>American, World</i><br><a href = '../players/henry-atkins'>Henry Atkins</a> <i style = 'font-size:80%'>British</i><br><a href = '../players/jacob-orourke'>Jacob O'Rourke</a> <i style = 'font-size:80%'>European</i>","<a href = '../players/erik-christensen'>Erik Christensen</a> <i style = 'font-size:80%'>European, Other</i><br><a href = '../players/ganon-evans'>Ganon Evans</a> <i style = 'font-size:80%'>World, American</i>","<a href = '../players/conor-thompson'>Conor Thompson</a> <i style = 'font-size:80%'>Other</i><br><a href = '../players/eric-mukherjee'>Eric Mukherjee</a> <i style = 'font-size:80%'>Biology, Chemistry, Physics</i>",<a href = '../players/chandler-west'>Chandler West</a> <i style = 'font-size:80%'>Visual</i><br><a href = '../players/chris-sims'>Chris Sims</a> <i style = 'font-size:80%'>Auditory</i><br><a href = '../players/will-grossman'>Will Grossman</a> <i style = 'font-size:80%'>Other</i>,<a href = '../players/conor-thompson'>Conor Thompson</a> <i style = 'font-size:80%'>Religion</i><br><a href = '../players/jaimie-carlson'>Jaimie Carlson</a> <i style = 'font-size:80%'>Mythology</i>,<a href = '../players/erik-christensen'>Erik Christensen</a> <i style = 'font-size:80%'>Philosophy</i><br><a href = '../players/sam-bailey'>Sam Bailey</a> <i style = 'font-size:80%'>Social Science</i>,<a href = '../players/conor-thompson'>Conor Thompson</a> <i style = 'font-size:80%'>Other</i>
2021-22,<a href = '/sets/21-22-acf-regionals'>ACF Regionals</a>,<div class = 'diffdots regionals-diff'>&#x25CF;&#x25CF;&#x25CF;</div>,<a href = '../players/taylor-harvey'>Taylor Harvey</a>,"Alex Hardwick <i style = 'font-size:80%'>World</i><br><a href = '../players/chandler-west'>Chandler West</a> <i style = 'font-size:80%'>American</i><br><a href = '../players/jaimie-carlson'>Jaimie Carlson</a> <i style = 'font-size:80%'>British, European</i>","<a href = '../players/arjun-nageswaran'>Arjun Nageswaran</a> <i style = 'font-size:80%'>American</i><br><a href = '../players/grant-peet'>Grant Peet</a> <i style = 'font-size:80%'>European, Other</i><br><a href = '../players/nick-jensen'>Nick Jensen</a> <i style = 'font-size:80%'>World</i>","<a href = '../players/graham-reid'>Graham Reid</a> <i style = 'font-size:80%'>Chemistry</i><br><a href = '../players/jonathen-settle'>Jonathen Settle</a> <i style = 'font-size:80%'>Physics, Other</i><br><a href = '../players/nick-jensen'>Nick Jensen</a> <i style = 'font-size:80%'>Biology</i>","<a href = '../players/chandler-west'>Chandler West</a> <i style = 'font-size:80%'>Visual</i><br><a href = '../players/ganon-evans'>Ganon Evans</a> <i style = 'font-size:80%'>Other</i><br><a href = '../players/taylor-harvey'>Taylor Harvey</a> <i style = 'font-size:80%'>Other, Auditory</i>",<a href = '../players/annabelle-yang'>Annabelle Yang</a> <i style = 'font-size:80%'>Mythology</i><br><a href = '../players/taylor-harvey'>Taylor Harvey</a> <i style = 'font-size:80%'>Religion</i>,Alex Hardwick <i style = 'font-size:80%'>Social Science</i><br><a href = '../players/nick-jensen'>Nick Jensen</a> <i style = 'font-size:80%'>Social Science</i><br><a href = '../players/taylor-harvey'>Taylor Harvey</a> <i style = 'font-size:80%'>Philosophy</i>,"<a href = '../players/ganon-evans'>Ganon Evans</a> <i style = 'font-size:80%'>Geography, Pop Culture, Other Academic</i><br><a href = '../players/jonathen-settle'>Jonathen Settle</a> <i style = 'font-size:80%'>Current Events</i>"
2021-22,<a href = '/sets/21-22-di-sct'>DI SCT</a>,<div class = 'diffdots regionals-diff'>&#x25CF;&#x25CF;&#x25CF;</div>,NAQT,,,,,,,
2021-22,<a href = '/sets/21-22-dii-ict'>DII ICT</a>,<div class = 'diffdots regionals-diff'>&#x25CF;&#x25CF;&#x25CF;</div>,NAQT,,,,,,,
2021-22,<a href = '/sets/21-22-penn-bowl'>Penn Bowl</a>,<div class = 'diffdots regionals-diff'>&#x25CF;&#x25CF;&#x25CF;</div>,<a href = '../players/nitin-rao'>Nitin Rao</a>,"<a href = '../players/jordan-brownstein'>Jordan Brownstein</a> <i style = 'font-size:80%'>World</i><br><a href = '../players/margaret-tebbe'>Margaret Tebbe</a> <i style = 'font-size:80%'>British, European</i><br><a href = '../players/taylor-harvey'>Taylor Harvey</a> <i style = 'font-size:80%'>American</i>","<a href = '../players/emmett-laurie'>Emmett Laurie</a> <i style = 'font-size:80%'>American, World</i><br><a href = '../players/tracy-mirkin'>Tracy Mirkin</a> <i style = 'font-size:80%'>European, Other</i>","<a href = '../players/jonathen-settle'>Jonathen Settle</a> <i style = 'font-size:80%'>Physics</i><br><a href = '../players/paul-lee'>Paul Lee</a> <i style = 'font-size:80%'>Chemistry</i><br><a href = '../players/shan-kothari'>Shan Kothari</a> <i style = 'font-size:80%'>Biology, Other</i>","<a href = '../players/aseem-keyal'>Aseem Keyal</a> <i style = 'font-size:80%'>Visual, Other</i><br><a href = '../players/michael-yue'>Michael Yue</a> <i style = 'font-size:80%'>Auditory, Other</i><br><a href = '../players/taylor-harvey'>Taylor Harvey</a> <i style = 'font-size:80%'>Other</i>","<a href = '../players/noureddine-hijazi'>NourEddine Hijazi</a> <i style = 'font-size:80%'>Religion, Mythology</i>",<a href = '../players/harris-bunker'>Harris Bunker</a> <i style = 'font-size:80%'>Social Science</i><br><a href = '../players/jordan-brownstein'>Jordan Brownstein</a> <i style = 'font-size:80%'>Philosophy</i>,<a href = '../players/nitin-rao'>Nitin Rao</a> <i style = 'font-size:80%'>Other</i>
2021-22,<a href = '/sets/21-22-workshop'>WORKSHOP</a>,<div class = 'diffdots regionals-diff'>&#x25CF;&#x25CF;&#x25CF;</div>,<a href = '../players/jordan-brownstein'>Jordan Brownstein</a><br><a href = '../players/kevin-wang'>Kevin Wang</a><br><a href = '../players/olivia-murton'>Olivia Murton</a>,<a href = '../players/caroline-mao'>Caroline Mao</a> <i style = 'font-size:80%'>Literature</i>,<a href = '../players/chris-sims'>Chris Sims</a> <i style = 'font-size:80%'>History</i><br><a href = '../players/michael-kearney'>Michael Kearney</a> <i style = 'font-size:80%'>History</i><br><a href = '../players/nick-jensen'>Nick Jensen</a> <i style = 'font-size:80%'>History</i>,"<a href = '../players/adam-fine'>Adam Fine</a> <i style = 'font-size:80%'>Physics, Biology</i><br><a href = '../players/kevin-wang'>Kevin Wang</a> <i style = 'font-size:80%'>Chemistry, Other</i>","<a href = '../players/athena-kern'>Athena Kern</a> <i style = 'font-size:80%'>Visual</i><br><a href = '../players/wonyoung-jang'>Wonyoung Jang</a> <i style = 'font-size:80%'>Auditory, Other</i>",<a href = '../players/athena-kern'>Athena Kern</a> <i style = 'font-size:80%'>Religion</i><br><a href = '../players/kevin-wang'>Kevin Wang</a> <i style = 'font-size:80%'>Mythology</i>,"<a href = '../players/chris-sims'>Chris Sims</a> <i style = 'font-size:80%'>Social Science</i><br><a href = '../players/jordan-brownstein'>Jordan Brownstein</a> <i style = 'font-size:80%'>Philosophy, Social Science</i>",<a href = '../players/chris-sims'>Chris Sims</a> <i style = 'font-size:80%'>Other Academic</i>
2021-22,<a href = '/sets/21-22-acf-nationals'>ACF Nationals</a>,<div class = 'diffdots nationals-diff'>&#x25CF;&#x25CF;&#x25CF;&#x25CF;</div>,<a href = '../players/john-lawrence'>John Lawrence</a>,<a href = '../players/john-lawrence'>John Lawrence</a> <i style = 'font-size:80%'>Literature</i>,<a href = '../players/will-alston'>Will Alston</a> <i style = 'font-size:80%'>History</i>,"<a href = '../players/adam-silverman'>Adam Silverman</a> <i style = 'font-size:80%'>Chemistry</i><br><a href = '../players/eric-mukherjee'>Eric Mukherjee</a> <i style = 'font-size:80%'>Biology</i><br><a href = '../players/stephen-eltinge'>Stephen Eltinge</a> <i style = 'font-size:80%'>Physics, Other</i>","<a href = '../players/john-lawrence'>John Lawrence</a> <i style = 'font-size:80%'>Auditory, Other</i><br><a href = '../players/stephen-liu'>Stephen Liu</a> <i style = 'font-size:80%'>Visual, Other</i>",<a href = '../players/stephen-liu'>Stephen Liu</a> <i style = 'font-size:80%'>Mythology</i><br><a href = '../players/will-alston'>Will Alston</a> <i style = 'font-size:80%'>Religion</i>,<a href = '../players/john-lawrence'>John Lawrence</a> <i style = 'font-size:80%'>Philosophy</i><br><a href = '../players/will-alston'>Will Alston</a> <i style = 'font-size:80%'>Social Science</i>,<a href = '../players/will-alston'>Will Alston</a> <i style = 'font-size:80%'>Other</i>
2021-22,<a href = '/sets/21-22-chicago-open'>Chicago Open</a>,<div class = 'diffdots nationals-diff'>&#x25CF;&#x25CF;&#x25CF;&#x25CF;</div>,<a href = '../players/austin-brownlow'>Austin Brownlow</a><br><a href = '../players/kurtis-droge'>Kurtis Droge</a>,<a href = '../players/kurtis-droge'>Kurtis Droge</a> <i style = 'font-size:80%'>Literature</i>,<a href = '../players/austin-brownlow'>Austin Brownlow</a> <i style = 'font-size:80%'>History</i>,"<a href = '../players/alistair-gray'>Alistair Gray</a> <i style = 'font-size:80%'>Other</i><br><a href = '../players/austin-brownlow'>Austin Brownlow</a> <i style = 'font-size:80%'>Physics, Other</i><br><a href = '../players/eddie-kim'>Eddie Kim</a> <i style = 'font-size:80%'>Other</i><br><a href = '../players/shan-kothari'>Shan Kothari</a> <i style = 'font-size:80%'>Biology, Other</i><br><a href = '../players/vincent-du'>Vincent Du</a> <i style = 'font-size:80%'>Chemistry</i>",<a href = '../players/sameer-apte'>Sameer Apte</a> <i style = 'font-size:80%'>Auditory</i><br><a href = '../players/young-fenimore-lee'>Young Fenimore Lee</a> <i style = 'font-size:80%'>Visual</i>,<a href = '../players/austin-brownlow'>Austin Brownlow</a> <i style = 'font-size:80%'>Religion</i><br><a href = '../players/eddie-kim'>Eddie Kim</a> <i style = 'font-size:80%'>Mythology</i>,<a href = '../players/kurtis-droge'>Kurtis Droge</a> <i style = 'font-size:80%'>Social Science</i><br><a href = '../players/young-fenimore-lee'>Young Fenimore Lee</a> <i style = 'font-size:80%'>Philosophy</i>,"<a href = '../players/ashish-subramanian'>Ashish Subramanian</a> <i style = 'font-size:80%'>Geography</i><br><a href = '../players/kurtis-droge'>Kurtis Droge</a> <i style = 'font-size:80%'>Current Events, Other Academic</i>"
2021-22,<a href = '/sets/21-22-di-ict'>DI ICT</a>,<div class = 'diffdots nationals-diff'>&#x25CF;&#x25CF;&#x25CF;&#x25CF;</div>,NAQT,,,,,,,
2020-21,<a href = '/sets/20-21-acf-fall'>ACF Fall</a>,<div class = 'diffdots easy-diff'>&#x25CF;</div>,<a href = '../players/ben-miller'>Ben Miller</a>,Alex Hardwick <i style = 'font-size:80%'>Literature</i>,<a href = '../players/arjun-nageswaran'>Arjun Nageswaran</a> <i style = 'font-size:80%'>History</i>,"<a href = '../players/justin-duffy'>Justin Duffy</a> <i style = 'font-size:80%'>Biology, Chemistry</i><br><a href = '../players/sarah-benner'>Sarah Benner</a> <i style = 'font-size:80%'>Physics, Other</i>","<a href = '../players/catherine-qian'>Catherine Qian</a> <i style = 'font-size:80%'>Visual, Other</i><br><a href = '../players/halle-friedman'>Halle Friedman</a> <i style = 'font-size:80%'>Visual</i><br><a href = '../players/karthik-prasad'>Karthik Prasad</a> <i style = 'font-size:80%'>Auditory, Other</i>",<a href = '../players/justin-duffy'>Justin Duffy</a> <i style = 'font-size:80%'>Mythology</i><br><a href = '../players/karthik-prasad'>Karthik Prasad</a> <i style = 'font-size:80%'>Religion</i>,"<a href = '../players/catherine-qian'>Catherine Qian</a> <i style = 'font-size:80%'>Philosophy</i><br><a href = '../players/matthew-lehmann'>Matthew Lehmann</a> <i style = 'font-size:80%'>Philosophy, Social Science</i>","<a href = '../players/ben-miller'>Ben Miller</a> <i style = 'font-size:80%'>Geography, Current Events</i><br><a href = '../players/sarah-benner'>Sarah Benner</a> <i style = 'font-size:80%'>Pop Culture</i>"
2020-21,<a href = '/sets/20-21-ccct'>CCCT</a>,<div class = 'diffdots easy-diff'>&#x25CF;</div>,NAQT,,,,,,,
2020-21,<a href = '/sets/20-21-delta-burke'>Delta Burke</a>,<div class = 'diffdots easy-diff'>&#x25CF;</div>,<a href = '../players/chris-borglum'>Chris Borglum</a>,,,,,,,
2020-21,<a href = '/sets/20-21-io-saturnalia'>IO SATURNALIA</a>,<div class = 'diffdots easy-diff'>&#x25CF;</div>,<a href = '../players/justine-french'>Justine French</a>,<a href = '../players/connor-mayers'>Connor Mayers</a> <i style = 'font-size:80%'>Literature</i><br><a href = '../players/robert-condron'>Robert Condron</a> <i style = 'font-size:80%'>Literature</i>,<a href = '../players/avinash-iyer'>Avinash Iyer</a> <i style = 'font-size:80%'>History</i><br><a href = '../players/laurence-li'>Laurence Li</a> <i style = 'font-size:80%'>History</i>,<a href = '../players/june-yin'>June Yin</a> <i style = 'font-size:80%'>Science</i><br><a href = '../players/justine-french'>Justine French</a> <i style = 'font-size:80%'>Science</i><br><a href = '../players/karan-gurazada'>Karan Gurazada</a> <i style = 'font-size:80%'>Science</i>,<a href = '../players/dylan-bowman'>Dylan Bowman</a> <i style = 'font-size:80%'>Arts</i><br><a href = '../players/jeffrey-ma'>Jeffrey Ma</a> <i style = 'font-size:80%'>Arts</i>,<a href = '../players/justine-french'>Justine French</a> <i style = 'font-size:80%'>Mythology</i><br><a href = '../players/nicholas-dai'>Nicholas Dai</a> <i style = 'font-size:80%'>Religion</i>,"<a href = '../players/ethan-ashbrook'>Ethan Ashbrook</a> <i style = 'font-size:80%'>Philosophy, Social Science</i><br><a href = '../players/justine-french'>Justine French</a> <i style = 'font-size:80%'>Social Science</i>","<a href = '../players/benjamin-mcavoy-bickford'>Benjamin McAvoy-Bickford</a> <i style = 'font-size:80%'>Current Events, Other Academic</i><br><a href = '../players/daniel-ma'>Daniel Ma</a> <i style = 'font-size:80%'>Geography</i><br><a href = '../players/lalit-maharjan'>Lalit Maharjan</a> <i style = 'font-size:80%'>Pop Culture</i>"
2020-21,<a href = '/sets/20-21-naqt-collegiate-novice'>NAQT Collegiate Novice</a>,<div class = 'diffdots easy-diff'>&#x25CF;</div>,NAQT,,,,,,,
2020-21,<a href = '/sets/20-21-spring-novice'>Spring Novice</a>,<div class = 'diffdots easy-diff'>&#x25CF;</div>,<a href = '../players/ryan-rosenberg'>Ryan Rosenberg</a>,<a href = '../players/ryan-rosenberg'>Ryan Rosenberg</a> <i style = 'font-size:80%'>Literature</i>,<a href = '../players/ryan-rosenberg'>Ryan Rosenberg</a> <i style = 'font-size:80%'>History</i>,<a href = '../players/katherine-lei'>Katherine Lei</a> <i style = 'font-size:80%'>Science</i>,"<a href = '../players/alex-damisch'>Alex Damisch</a> <i style = 'font-size:80%'>Auditory</i><br><a href = '../players/ryan-rosenberg'>Ryan Rosenberg</a> <i style = 'font-size:80%'>Visual, Other</i>",<a href = '../players/ryan-rosenberg'>Ryan Rosenberg</a> <i style = 'font-size:80%'>Beliefs</i>,"<a href = '../players/ryan-rosenberg'>Ryan Rosenberg</a> <i style = 'font-size:80%'>Philosophy, Social Science</i>","<a href = '../players/chris-chiego'>Chris Chiego</a> <i style = 'font-size:80%'>Geography, Current Events</i><br><a href = '../players/ryan-rosenberg'>Ryan Rosenberg</a> <i style = 'font-size:80%'>Pop Culture</i>"
2020-21,<a href = '/sets/20-21-sun'>SUN</a>,<div class = 'diffdots easy-diff'>&#x25CF;</div>,<a href = '../players/harris-bunker'>Harris Bunker</a>,,,,,,,
2020-21,<a href = '/sets/20-21-acf-winter'>ACF Winter</a>,<div class = 'diffdots medium-diff'>&#x25CF;&#x25CF;</div>,<a href = '../players/william-golden'>William Golden</a>,"<a href = '../players/bryanna-shao'>Bryanna Shao</a> <i style = 'font-size:80%'>British, European, World</i><br><a href = '../players/chandler-west'>Chandler West</a> <i style = 'font-size:80%'>American</i>","<a href = '../players/ganon-evans'>Ganon Evans</a> <i style = 'font-size:80%'>World</i><br><a href = '../players/jaskaran-singh'>Jaskaran Singh</a> <i style = 'font-size:80%'>European, Ancient, Other</i><br><a href = '../players/nick-jensen'>Nick Jensen</a> <i style = 'font-size:80%'>American</i>","<a href = '../players/andrew-wang-2'>Andrew Wang</a> <i style = 'font-size:80%'>Physics</i><br><a href = '../players/nick-jensen'>Nick Jensen</a> <i style = 'font-size:80%'>Chemistry</i><br><a href = '../players/vishwa-shanmugam'>Vishwa Shanmugam</a> <i style = 'font-size:80%'>Biology, Other</i>","<a href = '../players/chandler-west'>Chandler West</a> <i style = 'font-size:80%'>Visual</i><br><a href = '../players/chris-sims'>Chris Sims</a> <i style = 'font-size:80%'>Auditory, Other</i><br><a href = '../players/ganon-evans'>Ganon Evans</a> <i style = 'font-size:80%'>Other</i>",<a href = '../players/nick-jensen'>Nick Jensen</a> <i style = 'font-size:80%'>Religion</i><br><a href = '../players/vishwa-shanmugam'>Vishwa Shanmugam</a> <i style = 'font-size:80%'>Mythology</i>,<a href = '../players/chris-sims'>Chris Sims</a> <i style = 'font-size:80%'>Philosophy</i><br><a href = '../players/nick-jensen'>Nick Jensen</a> <i style = 'font-size:80%'>Social Science</i>,<a href = '../players/ganon-evans'>Ganon Evans</a> <i style = 'font-size:80%'>Other</i>
2020-21,<a href = '/sets/20-21-lit'>LIT</a>,<div class = 'diffdots medium-diff'>&#x25CF;&#x25CF;</div>,<a href = '../players/ryan-humphrey'>Ryan Humphrey</a>,<a href = '../players/william-golden'>William Golden</a> <i style = 'font-size:80%'>Literature</i>,<a href = '../players/jaskaran-singh'>Jaskaran Singh</a> <i style = 'font-size:80%'>History</i>,<a href = '../players/ryan-humphrey'>Ryan Humphrey</a> <i style = 'font-size:80%'>Science</i>,"<a href = '../players/kai-smith'>Kai Smith</a> <i style = 'font-size:80%'>Auditory, Other</i><br><a href = '../players/ryan-humphrey'>Ryan Humphrey</a> <i style = 'font-size:80%'>Visual, Other</i>","<a href = '../players/bradley-mclain'>Bradley McLain</a> <i style = 'font-size:80%'>Religion, Mythology</i>","<a href = '../players/bradley-mclain'>Bradley McLain</a> <i style = 'font-size:80%'>Philosophy, Social Science</i>","<a href = '../players/jaskaran-singh'>Jaskaran Singh</a> <i style = 'font-size:80%'>Current Events, Other Academic</i><br><a href = '../players/william-golden'>William Golden</a> <i style = 'font-size:80%'>Pop Culture</i>"
2020-21,<a href = '/sets/20-21-smh-1'>SMH 1</a>,<div class = 'diffdots medium-diff'>&#x25CF;&#x25CF;</div>,Communal,<a href = '../players/aidan-leahy'>Aidan Leahy</a> <i style = 'font-size:80%'>Literature</i>,"<a href = '../players/arjun-nageswaran'>Arjun Nageswaran</a> <i style = 'font-size:80%'>American</i><br>Govind Prabhakar <i style = 'font-size:80%'>European, World, Other</i>","<a href = '../players/dylan-bowman'>Dylan Bowman</a> <i style = 'font-size:80%'>Physics, Other</i><br><a href = '../players/katherine-lei'>Katherine Lei</a> <i style = 'font-size:80%'>Biology, Chemistry</i>",<a href = '../players/ethan-strombeck'>Ethan Strombeck</a> <i style = 'font-size:80%'>Arts</i>,<a href = '../players/ethan-ashbrook'>Ethan Ashbrook</a> <i style = 'font-size:80%'>Beliefs</i>,<a href = '../players/ethan-ashbrook'>Ethan Ashbrook</a> <i style = 'font-size:80%'>Thought</i>,<a href = '../players/arjun-nageswaran'>Arjun Nageswaran</a> <i style = 'font-size:80%'>Current Events</i><br>Govind Prabhakar <i style = 'font-size:80%'>Geography</i>
2020-21,<a href = '/sets/20-21-smh-2'>SMH 2</a>,<div class = 'diffdots medium-diff'>&#x25CF;&#x25CF;</div>,Communal,<a href = '../players/aidan-leahy'>Aidan Leahy</a> <i style = 'font-size:80%'>Literature</i>,"<a href = '../players/arjun-nageswaran'>Arjun Nageswaran</a> <i style = 'font-size:80%'>American</i><br>Govind Prabhakar <i style = 'font-size:80%'>European, World, Other</i>","<a href = '../players/dylan-bowman'>Dylan Bowman</a> <i style = 'font-size:80%'>Physics, Other</i><br><a href = '../players/katherine-lei'>Katherine Lei</a> <i style = 'font-size:80%'>Biology, Chemistry</i>",<a href = '../players/ethan-strombeck'>Ethan Strombeck</a> <i style = 'font-size:80%'>Arts</i>,<a href = '../players/ethan-ashbrook'>Ethan Ashbrook</a> <i style = 'font-size:80%'>Beliefs</i>,<a href = '../players/ethan-ashbrook'>Ethan Ashbrook</a> <i style = 'font-size:80%'>Thought</i>,<a href = '../players/arjun-nageswaran'>Arjun Nageswaran</a> <i style = 'font-size:80%'>Current Events</i><br>Govind Prabhakar <i style = 'font-size:80%'>Geography</i>
2020-21,<a href = '/sets/20-21-stash'>STASH</a>,<div class = 'diffdots medium-diff'>&#x25CF;&#x25CF;</div>,<a href = '../players/will-alston'>Will Alston</a>,<a href = '../players/grant-li'>Grant Li</a> <i style = 'font-size:80%'>Literature</i>,<a href = '../players/vivian-malouf'>Vivian Malouf</a> <i style = 'font-size:80%'>History</i>,<a href = '../players/dan-ni'>Dan Ni</a> <i style = 'font-size:80%'>Science</i><br><a href = '../players/michael-yue'>Michael Yue</a> <i style = 'font-size:80%'>Science</i>,"<a href = '../players/grant-li'>Grant Li</a> <i style = 'font-size:80%'>Visual</i><br><a href = '../players/michael-yue'>Michael Yue</a> <i style = 'font-size:80%'>Auditory, Other</i>","<a href = '../players/ankit-aggarwal'>Ankit Aggarwal</a> <i style = 'font-size:80%'>Religion, Mythology</i>","<a href = '../players/jack-mehr'>Jack Mehr</a> <i style = 'font-size:80%'>Philosophy, Social Science</i>",
2020-21,<a href = '/sets/20-21-acf-regionals'>ACF Regionals</a>,<div class = 'diffdots regionals-diff'>&#x25CF;&#x25CF;&#x25CF;</div>,<a href = '../players/jaimie-carlson'>Jaimie Carlson</a>,"<a href = '../players/jaimie-carlson'>Jaimie Carlson</a> <i style = 'font-size:80%'>American</i><br><a href = '../players/michael-kearney'>Michael Kearney</a> <i style = 'font-size:80%'>European</i><br><a href = '../players/tim-morrison'>Tim Morrison</a> <i style = 'font-size:80%'>British, European, World</i>","<a href = '../players/hari-parameswaran'>Hari Parameswaran</a> <i style = 'font-size:80%'>European, World</i><br><a href = '../players/jaimie-carlson'>Jaimie Carlson</a> <i style = 'font-size:80%'>American</i><br><a href = '../players/jonathan-tran'>Jonathan Tran</a> <i style = 'font-size:80%'>American</i><br><a href = '../players/michael-kearney'>Michael Kearney</a> <i style = 'font-size:80%'>Ancient, Other</i>","<a href = '../players/hasna-karim'>Hasna Karim</a> <i style = 'font-size:80%'>Biology</i><br><a href = '../players/jaimie-carlson'>Jaimie Carlson</a> <i style = 'font-size:80%'>Other</i><br><a href = '../players/jonathan-tran'>Jonathan Tran</a> <i style = 'font-size:80%'>Other</i><br><a href = '../players/natan-holtzman'>Natan Holtzman</a> <i style = 'font-size:80%'>Other</i><br><a href = '../players/stephen-eltinge'>Stephen Eltinge</a> <i style = 'font-size:80%'>Chemistry, Physics, Other</i><br><a href = '../players/tim-morrison'>Tim Morrison</a> <i style = 'font-size:80%'>Other</i>","<a href = '../players/annabelle-yang'>Annabelle Yang</a> <i style = 'font-size:80%'>Visual</i><br><a href = '../players/natan-holtzman'>Natan Holtzman</a> <i style = 'font-size:80%'>Auditory, Other</i><br><a href = '../players/tim-morrison'>Tim Morrison</a> <i style = 'font-size:80%'>Other</i>","<a href = '../players/annabelle-yang'>Annabelle Yang</a> <i style = 'font-size:80%'>Mythology, Religion</i><br><a href = '../players/hasna-karim'>Hasna Karim</a> <i style = 'font-size:80%'>Religion</i><br><a href = '../players/nicholas-dai'>Nicholas Dai</a> <i style = 'font-size:80%'>Religion</i>",<a href = '../players/hasna-karim'>Hasna Karim</a> <i style = 'font-size:80%'>Social Science</i><br><a href = '../players/jordan-brownstein'>Jordan Brownstein</a> <i style = 'font-size:80%'>Philosophy</i>,"<a href = '../players/jaimie-carlson'>Jaimie Carlson</a> <i style = 'font-size:80%'>Other Academic</i><br><a href = '../players/nitin-rao'>Nitin Rao</a> <i style = 'font-size:80%'>Geography, Current Events</i><br><a href = '../players/tim-morrison'>Tim Morrison</a> <i style = 'font-size:80%'>Pop Culture</i>"
2020-21,<a href = '/sets/20-21-dii-ict'>DII ICT</a>,<div class = 'diffdots regionals-diff'>&#x25CF;&#x25CF;&#x25CF;</div>,NAQT,,,,,,,
